Go term ,GO:0042221,GO:0000278,GO:0006366,GO:0023052,GO:0055085,GO:0006974,GO:0051321,GO:0006811,GO:0006281,GO:0006325,GO:0048285,GO:0006629,GO:0033043,GO:0005975,GO:0071554,GO:0051726,GO:0006364,GO:0007010,GO:0006468,GO:0007059,GO:0051186,GO:0006520,GO:0002181,GO:0006310,GO:0055086,GO:0007005,GO:0018193,GO:0006091,GO:0031399,GO:0032787,GO:0051603,GO:0015931,GO:0070925,GO:0043934,GO:0070647,GO:0006260,GO:0042274,GO:0051169,GO:0006605,GO:0048193,GO:0006397,GO:0006873,GO:0000746,GO:0006979,GO:0016570,GO:0042273,GO:0006401,GO:0006897,GO:0008033,GO:0006417,GO:0006457,GO:0000910,GO:0008380,GO:0009451,GO:0016050,GO:0051052,GO:0048284,GO:0032543,GO:0045333,GO:0009408,GO:0032200,GO:0006970,GO:0006470,GO:0006869,GO:0042255,GO:0007033,GO:0006997,GO:0007124,GO:0061025,GO:0051049,GO:0007114,GO:0016197,GO:0001403,GO:0051604,GO:0006887,GO:0043543,GO:0006766,GO:0042594,GO:0032196,GO:0008643,GO:0006352,GO:0007031,GO:0006865,GO:0008213,GO:0006354,GO:0009311,GO:0006360,GO:0048308,GO:0006486,GO:0000902,GO:0006414,GO:0006413,GO:0006353,GO:0000054,GO:0043144,GO:0006497,GO:0006383,GO:0006418,GO:0010324,GO:0043167,GO:0016787,GO:0016740,GO:0003677,GO:0003723,GO:0005198,GO:0016491,GO:0022857,GO:0016887,GO:0003735,GO:0030234,GO:0016301,GO:0019899,GO:0003700,GO:0003729,GO:0004518,GO:0003682,GO:0008289,GO:0004386,GO:0008233,GO:0016779,GO:0016874,GO:0008092,GO:0016829,GO:0016791,GO:0008168,GO:0019843,GO:0016757,GO:0008134,GO:0003924,GO:0051082,GO:0016853,GO:0016798,GO:0030674,GO:0008135,GO:0005085,GO:0032182,GO:0008565,GO:0042393,GO:0030533,GO:0030555,GO:0005737,GO:0005634,GO:0016020,GO:0005739,GO:0012505,GO:0005783,GO:0005886,GO:0005694,GO:0005773,GO:0005840,GO:0005740,GO:0005730,GO:0030427,GO:0005856,GO:0005933,GO:0031410,GO:0005794,GO:0005938,GO:0005618,GO:0005576,GO:0005815,GO:0005777
GO:0042221,0.125,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0000278,0.0625,0.1875,0.125,0.0625,0.0625,0.125,0.1875,0.0625,0.125,0.125,0.125,0.0625,0.0625,0.0625,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.125,0.0625,0.125,0.125,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.125,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.125,0.125,0.0625,0.125,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006366,0.0625,0.125,0.625,0.0625,0.0625,0.125,0.125,0.0625,0.375,0.125,0.125,0.1875,0.0625,0.1875,0.125,0.0625,0.4375,0.125,0.3125,0.125,0.1875,0.1875,0.375,0.375,0.3125,0.125,0.3125,0.1875,0.0625,0.1875,0.25,0.0625,0.125,0.0625,0.3125,0.375,0.0625,0.0625,0.0625,0.0625,0.4375,0.125,0.125,0.0625,0.3125,0.0625,0.4375,0.0625,0.4375,0.0625,0.125,0.125,0.4375,0.4375,0.125,0.0625,0.125,0.375,0.1875,0.0625,0.125,0.0625,0.3125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.25,0.125,0.3125,0.125,0.0625,0.125,0.0625,0.5,0.125,0.0625,0.3125,0.5,0.1875,0.625,0.125,0.3125,0.125,0.375,0.1875,0.5,0.0625,0.4375,0.3125,0.625,0.4375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0023052,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0055085,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.25,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006974,0.125,0.125,0.125,0.0625,0.0625,0.25,0.125,0.0625,0.25,0.125,0.125,0.0625,0.0625,0.0625,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.125,0.0625,0.125,0.125,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.125,0.1875,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.125,0.125,0.1875,0.125,0.1875,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0625,0.1875,0.125,0.0625,0.125,0.125,0.0625,0.125,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0051321,0.0625,0.1875,0.125,0.0625,0.0625,0.125,0.1875,0.0625,0.125,0.125,0.125,0.0625,0.0625,0.0625,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.125,0.0625,0.125,0.125,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.125,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.125,0.125,0.0625,0.125,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006811,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.25,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006281,0.125,0.125,0.375,0.0625,0.0625,0.25,0.125,0.0625,0.4375,0.125,0.125,0.1875,0.0625,0.1875,0.125,0.0625,0.375,0.125,0.3125,0.125,0.1875,0.1875,0.3125,0.4375,0.3125,0.125,0.3125,0.1875,0.0625,0.1875,0.25,0.0625,0.125,0.0625,0.3125,0.4375,0.0625,0.0625,0.0625,0.0625,0.375,0.125,0.125,0.1875,0.3125,0.0625,0.375,0.0625,0.375,0.0625,0.125,0.125,0.375,0.375,0.125,0.0625,0.125,0.3125,0.1875,0.1875,0.125,0.1875,0.3125,0.0625,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.25,0.125,0.3125,0.125,0.1875,0.125,0.0625,0.375,0.125,0.0625,0.3125,0.375,0.1875,0.375,0.125,0.3125,0.125,0.3125,0.1875,0.375,0.0625,0.375,0.3125,0.375,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006325,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.125,0.0625,0.125,0.1875,0.1875,0.0625,0.0625,0.0625,0.125,0.0625,0.125,0.1875,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.1875,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.1875,0.0625,0.125,0.125,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.125,0.0625,0.1875,0.125,0.125,0.0625,0.125,0.0625,0.125,0.125,0.125,0.125,0.1875,0.0625,0.1875,0.125,0.125,0.0625,0.1875,0.0625,0.125,0.0625,0.1875,0.1875,0.1875,0.125,0.1875,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.125,0.0625,0.125,0.1875,0.0625,0.125,0.125,0.0625,0.125,0.1875,0.125,0.1875,0.125,0.125,0.125,0.0625,0.125,0.125,0.125,0.125,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
