Go term ,GO:0042221,GO:0000278,GO:0006366,GO:0023052,GO:0055085,GO:0006974,GO:0051321,GO:0006811,GO:0006281,GO:0006325,GO:0048285,GO:0006629,GO:0033043,GO:0005975,GO:0071554,GO:0051726,GO:0006364,GO:0007010,GO:0006468,GO:0007059,GO:0051186,GO:0006520,GO:0002181,GO:0006310,GO:0055086,GO:0007005,GO:0018193,GO:0006091,GO:0031399,GO:0032787,GO:0051603,GO:0015931,GO:0070925,GO:0043934,GO:0070647,GO:0006260,GO:0042274,GO:0051169,GO:0006605,GO:0048193,GO:0006397,GO:0006873,GO:0000746,GO:0006979,GO:0016570,GO:0042273,GO:0006401,GO:0006897,GO:0008033,GO:0006417,GO:0006457,GO:0000910,GO:0008380,GO:0009451,GO:0016050,GO:0051052,GO:0048284,GO:0032543,GO:0045333,GO:0009408,GO:0032200,GO:0006970,GO:0006470,GO:0006869,GO:0042255,GO:0007033,GO:0006997,GO:0007124,GO:0061025,GO:0051049,GO:0007114,GO:0016197,GO:0001403,GO:0051604,GO:0006887,GO:0043543,GO:0006766,GO:0042594,GO:0032196,GO:0008643,GO:0006352,GO:0007031,GO:0006865,GO:0008213,GO:0006354,GO:0009311,GO:0006360,GO:0048308,GO:0006486,GO:0000902,GO:0006414,GO:0006413,GO:0006353,GO:0000054,GO:0043144,GO:0006497,GO:0006383,GO:0006418,GO:0010324,GO:0043167,GO:0016787,GO:0016740,GO:0003677,GO:0003723,GO:0005198,GO:0016491,GO:0022857,GO:0016887,GO:0003735,GO:0030234,GO:0016301,GO:0019899,GO:0003700,GO:0003729,GO:0004518,GO:0003682,GO:0008289,GO:0004386,GO:0008233,GO:0016779,GO:0016874,GO:0008092,GO:0016829,GO:0016791,GO:0008168,GO:0019843,GO:0016757,GO:0008134,GO:0003924,GO:0051082,GO:0016853,GO:0016798,GO:0030674,GO:0008135,GO:0005085,GO:0032182,GO:0008565,GO:0042393,GO:0030533,GO:0030555,GO:0005737,GO:0005634,GO:0016020,GO:0005739,GO:0012505,GO:0005783,GO:0005886,GO:0005694,GO:0005773,GO:0005840,GO:0005740,GO:0005730,GO:0030427,GO:0005856,GO:0005933,GO:0031410,GO:0005794,GO:0005938,GO:0005618,GO:0005576,GO:0005815,GO:0005777
GO:0042221,1,0.43922000000000005,0.31581000000000004,0.56821,0.39295,0.5490999999999999,0.50345,0.39381999999999995,0.50309,0.43904,0.40664999999999996,0.40202000000000004,0.35105,0.40176999999999996,0.46597999999999995,0.37761999999999996,0.27144,0.40347999999999995,0.30984,0.47743,0.40422,0.40608999999999995,0.31662,0.33848999999999996,0.42325,0.40574,0.30659000000000003,0.40724000000000005,0.32219,0.32865,0.33575999999999995,0.36783999999999994,0.40771,0.5006900000000001,0.3046,0.33945000000000003,0.43376000000000003,0.41555,0.38278999999999996,0.37092,0.28634000000000004,0.40669999999999995,0.51068,0.59447,0.38214000000000004,0.43154000000000003,0.36256999999999995,0.37783,0.274,0.32621,0.46984000000000004,0.44158,0.28549,0.32621999999999995,0.40593,0.34640000000000004,0.40586,0.31819,0.40545,0.5995699999999999,0.38097000000000003,0.5990599999999999,0.32087,0.36524999999999996,0.38866999999999996,0.40676999999999996,0.40867,0.55477,0.41425999999999996,0.39754,0.56846,0.41755,0.5543899999999999,0.36911000000000005,0.4447,0.30943,0.42945999999999995,0.6003000000000001,0.48507,0.36656,0.31421,0.40859999999999996,0.36928000000000005,0.30971000000000004,0.31516999999999995,0.37754,0.31711999999999996,0.41327,0.41076,0.41411,0.33392,0.41102000000000005,0.31523,0.44832000000000005,0.27927,0.30991,0.31638,0.34158999999999995,0.42286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0000278,0,1,0.38639,0.52658,0.36988,0.50951,0.78116,0.37066,0.46845000000000003,0.5559799999999999,0.50903,0.37803,0.33209999999999995,0.37781,0.6292599999999999,0.35609,0.29999,0.50444,0.38561,0.6471100000000001,0.52947,0.39671999999999996,0.38756,0.42850999999999995,0.41476,0.50771,0.37376,0.53415,0.30591999999999997,0.39646000000000003,0.31825000000000003,0.34726999999999997,0.51057,0.46631,0.37090999999999996,0.42947,0.4065,0.39017999999999997,0.36073999999999995,0.35004,0.31801,0.53635,0.64863,0.40162,0.47368,0.40451000000000004,0.44364000000000003,0.35628000000000004,0.30306999999999995,0.30957,0.63529,0.59107,0.31698000000000004,0.33911,0.5079899999999999,0.32789,0.50789,0.38981,0.46316,0.40436000000000005,0.47199,0.40408999999999995,0.40202000000000004,0.34492999999999996,0.48307,0.5092099999999999,0.51196,0.63245,0.52005,0.37400999999999995,0.6379,0.39198,0.51424,0.34841,0.59596,0.37783,0.40264999999999995,0.40475000000000005,0.65899,0.34611000000000003,0.35363,0.51185,0.34856,0.37822,0.35482,0.35602,0.38827999999999996,0.51861,0.376,0.51867,0.41256000000000004,0.54002,0.3549,0.41952999999999996,0.30944000000000005,0.37851,0.38721000000000005,0.33467,0.53252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006366,0,0,1,0.3637,0.27615,0.34630000000000005,0.38605,0.27661,0.42162999999999995,0.37031000000000003,0.34604999999999997,0.42135999999999996,0.25364,0.42108999999999996,0.40784,0.26802000000000004,0.43852,0.34365999999999997,0.43572,0.41698999999999997,0.47775,0.37776,0.59885,0.42472,0.45859000000000005,0.34536,0.44177,0.48173999999999995,0.23756999999999995,0.33021999999999996,0.39415999999999995,0.26276999999999995,0.34685,0.33085,0.43796999999999997,0.42567,0.29733,0.28796,0.27078,0.26443000000000005,0.47424,0.36019999999999996,0.41777,0.29454,0.44443,0.29618999999999995,0.5247999999999999,0.26813,0.44457,0.23984000000000005,0.41093,0.38829,0.47217,0.51694,0.34551,0.25107999999999997,0.34546,0.6033299999999999,0.42125,0.29611,0.32664000000000004,0.29595000000000005,0.44543,0.26137,0.33248,0.34614,0.34757000000000005,0.40947,0.35177,0.27857,0.41225999999999996,0.28900000000000003,0.35702999999999996,0.43882,0.39078999999999997,0.44720000000000004,0.38634,0.29633,0.42308999999999997,0.26208,0.60148,0.34751,0.26354,0.44772,0.60429,0.39486,0.7804800000000001,0.35102,0.44476000000000004,0.35106000000000004,0.6487,0.48673999999999995,0.60448,0.30474,0.45716,0.44810000000000005,0.7776000000000001,0.41833,0.35822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0023052,0,0,0,1,0.46487,0.47563,0.6124,0.46602,0.43879,0.52634,0.4831,0.47692999999999997,0.40956000000000004,0.47658999999999996,0.56237,0.44455,0.30713,0.47887,0.35601000000000005,0.57768,0.47985999999999995,0.48234999999999995,0.36475,0.39313,0.50524,0.48188,0.35183,0.48388,0.37195,0.38032999999999995,0.38956999999999997,0.43164,0.48451,0.6087199999999999,0.34926999999999997,0.39439,0.51927,0.49495999999999996,0.4514,0.4357,0.32597,0.48317,0.62201,0.512,0.45054000000000005,0.51631,0.42467999999999995,0.44482999999999995,0.31035,0.37716000000000005,0.5675399999999999,0.52974,0.32489,0.37717999999999996,0.48212999999999995,0.40347,0.48205,0.36677000000000004,0.48149,0.51608,0.44898000000000005,0.51568,0.37024,0.42822000000000005,0.45919,0.48326,0.48579000000000006,0.6802699999999999,0.49324,0.47097999999999995,0.69818,0.49763,0.67978,0.43331,0.53391,0.35549,0.51353,0.51667,0.58789,0.42995000000000005,0.36163,0.48568999999999996,0.43352999999999997,0.35583,0.36287,0.44445,0.36539999999999995,0.49190999999999996,0.48856999999999995,0.49304000000000003,0.38717999999999997,0.48892,0.36295999999999995,0.5387500000000001,0.31701,0.35609,0.36443000000000003,0.39718,0.5047200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0055085,0,0,0,0,1,0.34134,0.41734000000000004,0.71006,0.32035,0.36973999999999996,0.34555,0.34207,0.3034,0.34187999999999996,0.38971999999999996,0.32365,0.24114000000000002,0.34317,0.27149,0.39817,0.34373,0.34513000000000005,0.27679,0.29374,0.35797999999999996,0.34487,0.26895,0.34599,0.28112000000000004,0.28613999999999995,0.29162999999999994,0.64735,0.34635000000000005,0.41530999999999996,0.26737999999999995,0.29447999999999996,0.36580999999999997,0.65247,0.58743,0.6548,0.25299000000000005,0.34558999999999995,0.42264999999999997,0.36175999999999997,0.32708000000000004,0.36416000000000004,0.31220000000000003,0.67154,0.24317999999999995,0.28424000000000005,0.39257,0.37163999999999997,0.25232,0.28425,0.34501000000000004,0.29983000000000004,0.34496000000000004,0.27801,0.34465,0.36404000000000003,0.32619,0.36380999999999997,0.28008999999999995,0.64107,0.33201,0.34563999999999995,0.34707,0.45499999999999996,0.35126,0.33870999999999996,0.46504999999999996,0.66113,0.45472999999999997,0.31718999999999997,0.6619900000000001,0.27117,0.36261,0.36436,0.40381,0.64425,0.27491,0.34701000000000004,0.65082,0.27139,0.27564999999999995,0.3236,0.27718,0.35051,0.34863,0.35114,0.29020999999999997,0.34883,0.27569999999999995,0.49439999999999995,0.24738000000000004,0.27154,0.27659999999999996,0.29613,0.35768999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006974,0,0,0,0,0,1,0.5089699999999999,0.34202,0.6737,0.48412,0.44616,0.34840000000000004,0.30847,0.34819999999999995,0.54355,0.32937000000000005,0.27425,0.44245,0.34565999999999997,0.55811,0.46268,0.35479000000000005,0.34726,0.38081,0.36958,0.44509,0.33587999999999996,0.46647000000000005,0.28552,0.35457000000000005,0.29635,0.3217,0.44741,0.42422000000000004,0.33352000000000004,0.38160000000000005,0.37295,0.35889000000000004,0.33342000000000005,0.32411999999999996,0.28944000000000003,0.46825000000000006,0.55935,0.64059,0.41754,0.37124,0.39314000000000004,0.32954000000000006,0.27685000000000004,0.28873000000000004,0.54846,0.51252,0.28857999999999995,0.30711999999999995,0.44532000000000005,0.30479,0.44523999999999997,0.34911000000000003,0.40901,0.64621,0.41617000000000004,0.63698,0.35914,0.31967,0.42515000000000003,0.44630000000000003,0.44853,0.5461400000000001,0.45507,0.34492,0.55059,0.36044,0.46511,0.3227,0.51648,0.33924,0.36963,0.64701,0.5678300000000001,0.3207,0.31920000000000004,0.44843999999999995,0.32282999999999995,0.33956,0.32019,0.32931,0.34785,0.45389999999999997,0.33773,0.45396000000000003,0.36777000000000004,0.47121,0.32026,0.38415,0.28223,0.3398,0.34697,0.30340999999999996,0.46514999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0051321,0,0,0,0,0,0,1,0.4183,0.46797,0.5553600000000001,0.50849,0.42740999999999996,0.37099000000000004,0.42713,0.62852,0.40035,0.29977,0.5039,0.38527,0.64634,0.5288900000000001,0.39636000000000005,0.38722,0.42810000000000004,0.41437,0.50717,0.37343000000000004,0.53357,0.33921,0.3961,0.35412999999999994,0.38953000000000004,0.51003,0.53727,0.37059,0.42906,0.46269000000000005,0.44244000000000006,0.40608,0.39293999999999996,0.31777,0.53576,0.64786,0.45663,0.47319999999999995,0.46021999999999996,0.44321,0.40059,0.30284999999999995,0.34363,0.63454,0.59039,0.31672999999999996,0.33884000000000003,0.50745,0.36585999999999996,0.50735,0.38946000000000003,0.46269000000000005,0.46004,0.47151,0.4597,0.40164999999999995,0.38666999999999996,0.48257000000000005,0.50866,0.5114099999999999,0.6316999999999999,0.51949,0.42244000000000004,0.63715,0.44467,0.5970500000000001,0.39093999999999995,0.59527,0.37749999999999995,0.45791000000000004,0.46053,0.6582,0.38812,0.35333000000000003,0.5113,0.39112,0.37788999999999995,0.35451999999999995,0.40027,0.38793,0.51805,0.37566999999999995,0.5181100000000001,0.41217000000000004,0.5394300000000001,0.3546,0.47890999999999995,0.30921,0.37817,0.38686,0.33441,0.53193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006811,0,0,0,0,0,0,0,1,0.32094999999999996,0.37053,0.34624,0.34275,0.30395000000000005,0.34256,0.39058000000000004,0.32426999999999995,0.24148999999999998,0.34385,0.27193999999999996,0.39905999999999997,0.34441,0.34582,0.27725,0.29425,0.35872000000000004,0.34556,0.26939,0.34669000000000005,0.28159,0.28662,0.29213999999999996,0.64923,0.34704999999999997,0.41625999999999996,0.26781999999999995,0.29500000000000004,0.36658,0.65437,0.58908,0.65671,0.25338000000000005,0.34628000000000003,0.42362999999999995,0.36251,0.32770999999999995,0.36492,0.31277999999999995,0.67351,0.24353999999999998,0.28473000000000004,0.39344,0.37243000000000004,0.25271,0.28474,0.3457,0.30037,0.34565,0.27847,0.34534,0.3648,0.32681000000000004,0.36456999999999995,0.28057,0.6429199999999999,0.33265999999999996,0.34634,0.34777,0.45611999999999997,0.35197,0.33936999999999995,0.46619999999999995,0.6630499999999999,0.45584,0.31777999999999995,0.6639200000000001,0.27162,0.36336,0.36512999999999995,0.40471999999999997,0.64611,0.27536000000000005,0.34770999999999996,0.65271,0.27183,0.27610999999999997,0.32421,0.27764,0.35122,0.34933000000000003,0.35185999999999995,0.29072,0.34953,0.27615999999999996,0.49567000000000005,0.24775000000000003,0.27198999999999995,0.27706,0.29664999999999997,0.35843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006281,0,0,0,0,0,0,0,0,1,0.44621999999999995,0.41296,0.46346,0.29096,0.46314,0.49822,0.30967,0.47823000000000004,0.40969999999999995,0.48768,0.5109699999999999,0.53372,0.41249,0.5128699999999999,0.7581,0.56426,0.41202000000000005,0.49495,0.53847,0.2703,0.35738000000000003,0.43757999999999997,0.30281,0.41405000000000003,0.39368000000000003,0.49038000000000004,0.76024,0.34843,0.33596000000000004,0.31328,0.30496999999999996,0.51944,0.43232000000000004,0.51206,0.5833999999999999,0.49815,0.34691000000000005,0.57778,0.30982,0.48519999999999996,0.2732,0.5025200000000001,0.47108000000000005,0.51705,0.56871,0.41222000000000003,0.28766,0.41215,0.5164500000000001,0.46660999999999997,0.58836,0.38659,0.58022,0.49936,0.30099,0.39449999999999996,0.41308,0.41503,0.50049,0.42077,0.32353,0.50439,0.33733,0.42957,0.49112,0.47455,0.5014799999999999,0.41612000000000005,0.58907,0.5194799999999999,0.30191,0.51837,0.41496,0.30382,0.5021100000000001,0.5206299999999999,0.43245,0.42382,0.41974999999999996,0.49855000000000005,0.41979999999999995,0.55274,0.5444100000000001,0.52078,0.35834999999999995,0.49973,0.50257,0.42257,0.45497,0.42961000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006325,0,0,0,0,0,0,0,0,0,1,0.65865,0.37788999999999995,0.33199,0.37766999999999995,0.59477,0.35596000000000005,0.28974999999999995,0.65204,0.36958,0.6113299999999999,0.5025200000000001,0.37988,0.37139,0.40932,0.39659999999999995,0.65675,0.35857000000000006,0.50685,0.30582,0.37964,0.31814,0.34714999999999996,0.66086,0.46611,0.35592,0.41020999999999996,0.54806,0.39003,0.36061,0.34992,0.30662,0.50888,0.6127400000000001,0.40146000000000004,0.60756,0.54484,0.42330999999999996,0.35614999999999997,0.29262999999999995,0.30948,0.60036,0.55941,0.30565,0.32633,0.65715,0.32777999999999996,0.65701,0.37348000000000003,0.44133999999999995,0.4042,0.60511,0.40393,0.38480000000000003,0.34480999999999995,0.6211800000000001,0.6589,0.6628499999999999,0.59772,0.67445,0.37388,0.60278,0.39183,0.514,0.34829,0.56393,0.36234999999999995,0.40249,0.40459999999999996,0.62237,0.34599,0.33985,0.6627000000000001,0.34843999999999997,0.36272000000000004,0.34096000000000004,0.35589000000000004,0.37205999999999995,0.67239,0.36065,0.65622,0.39456,0.51227,0.34103000000000006,0.41935999999999996,0.2986,0.36297999999999997,0.37105999999999995,0.32218,0.69224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
